time_s,F1,F2,F3,F4,F5
0.0116,548.7,816.1,1200.8,1748.1,2494.6
0.0216,792.2,1315.9,2016.9,2711.0,3674.9
0.0316,811.6,1243.1,1813.2,2593.5,3633.6
0.0416,833.2,1221.4,1406.1,2568.4,3427.6
0.0516,579.4,826.2,1204.1,1826.1,2509.9
0.0616,849.8,1225.9,1365.2,2536.4,3315.6
0.0716,789.6,1315.0,2010.4,2704.2,3672.0
0.0816,811.6,1242.9,1812.1,2593.2,3634.5
0.0916,833.3,1221.5,1406.8,2568.8,3432.5
0.1016,580.0,826.1,1204.1,1828.9,2510.0
0.1116,849.8,1226.0,1365.6,2536.5,3317.6
0.1216,789.6,1315.0,2010.4,2704.2,3672.0
0.1316,811.6,1242.9,1812.1,2593.2,3634.5
0.1416,833.3,1221.5,1406.8,2568.8,3432.5
0.1516,580.0,826.1,1204.1,1828.9,2510.0
0.1616,849.8,1226.0,1365.6,2536.5,3317.6
0.1716,789.6,1315.0,2010.4,2704.2,3672.0
0.1816,811.6,1242.9,1812.1,2593.2,3634.5
0.1916,833.3,1221.5,1406.8,2568.8,3432.5
0.2016,580.0,826.1,1204.1,1828.9,2510.0
0.2116,849.8,1226.0,1365.6,2536.5,3317.6
0.2216,789.6,1315.0,2010.4,2704.2,3672.0
0.2316,811.6,1242.9,1812.1,2593.2,3634.5
0.2416,833.3,1221.5,1406.8,2568.8,3432.5
0.2516,580.0,826.1,1204.1,1828.9,2510.0
0.2616,849.8,1226.0,1365.6,2536.5,3317.6
0.2716,789.6,1315.0,2010.4,2704.2,3672.0
0.2816,811.6,1242.9,1812.1,2593.2,3634.5
0.2916,833.3,1221.5,1406.8,2568.8,3432.5
0.3016,580.0,826.1,1204.1,1828.9,2510.0
0.3116,849.8,1226.0,1365.6,2536.5,3317.6
0.3216,789.6,1315.0,2010.4,2704.2,3672.0
0.3316,811.6,1242.9,1812.1,2593.2,3634.5
0.3416,833.3,1221.5,1406.8,2568.8,3432.5
0.3516,580.0,826.1,1204.1,1828.9,2510.0
0.3616,849.8,1226.0,1365.6,2536.5,3317.6
0.3716,789.6,1315.0,2010.4,2704.2,3672.0
0.3816,811.6,1242.9,1812.1,2593.2,3634.5
0.3916,833.3,1221.5,1406.8,2568.8,3432.5
0.4016,580.0,826.1,1204.1,1828.9,2510.0
0.4116,849.8,1226.0,1365.6,2536.5,3317.6
0.4216,789.6,1315.0,2010.4,2704.2,3672.0
0.4316,811.6,1242.9,1812.1,2593.2,3634.5
0.4416,833.3,1221.5,1406.8,2568.8,3432.5
0.4516,580.0,826.1,1204.1,1828.9,2510.0
0.4616,849.8,1226.0,1365.6,2536.5,3317.6
0.4716,789.6,1315.0,2010.4,2704.2,3672.0
0.4816,811.6,1242.9,1812.1,2593.2,3634.5
0.4916,833.3,1221.5,1406.8,2568.8,3432.5
0.5016,580.0,826.1,1204.1,1828.9,2510.0
0.5116,849.8,1226.0,1365.6,2536.5,3317.6
0.5216,789.6,1315.0,2010.4,2704.2,3672.0
0.5316,811.6,1242.9,1812.1,2593.2,3634.5
0.5416,833.3,1221.5,1406.8,2568.8,3432.5
0.5516,580.0,826.1,1204.1,1828.9,2510.0
0.5616,849.8,1226.0,1365.6,2536.5,3317.6
0.5716,789.6,1315.0,2010.4,2704.2,3672.0
0.5816,811.6,1242.9,1812.1,2593.2,3634.5
0.5916,833.3,1221.5,1406.8,2568.8,3432.5
0.6016,580.0,826.1,1204.1,1828.9,2510.0
0.6116,849.8,1226.0,1365.6,2536.5,3317.6
0.6216,789.6,1315.0,2010.4,2704.2,3672.0
0.6316,811.6,1242.9,1812.1,2593.2,3634.5
0.6416,833.3,1221.5,1406.8,2568.8,3432.5
0.6516,580.0,826.1,1204.1,1828.9,2510.0
0.6616,849.8,1226.0,1365.6,2536.5,3317.6
0.6716,789.6,1315.0,2010.4,2704.2,3672.0
0.6816,811.6,1242.9,1812.1,2593.2,3634.5
0.6916,833.3,1221.5,1406.8,2568.8,3432.5
0.7016,580.0,826.1,1204.1,1828.9,2510.0
0.7116,849.8,1226.0,1365.6,2536.5,3317.6
0.7216,789.6,1315.0,2010.4,2704.2,3672.0
0.7316,811.6,1242.9,1812.1,2593.2,3634.5
0.7416,833.3,1221.5,1406.8,2568.8,3432.5
0.7516,580.0,826.1,1204.1,1828.9,2510.0
0.7616,849.8,1226.0,1365.6,2536.5,3317.6
0.7716,789.6,1315.0,2010.4,2704.2,3672.0
0.7816,811.6,1242.9,1812.1,2593.2,3634.5
0.7916,833.3,1221.5,1406.8,2568.8,3432.5
0.8016,580.0,826.1,1204.1,1828.9,2510.0
0.8116,849.8,1226.0,1365.6,2536.5,3317.6
0.8216,789.6,1315.0,2010.4,2704.2,3672.0
0.8316,811.6,1242.9,1812.1,2593.2,3634.5
0.8416,833.3,1221.5,1406.8,2568.8,3432.5
0.8516,580.0,826.1,1204.1,1828.9,2510.0
0.8616,849.8,1226.0,1365.6,2536.5,3317.6
0.8716,789.6,1315.0,2010.4,2704.2,3672.0
0.8816,811.6,1242.9,1812.1,2593.2,3634.5
0.8916,833.3,1221.5,1406.8,2568.8,3432.5
0.9016,580.0,826.1,1204.1,1828.9,2510.0
0.9116,849.8,1226.0,1365.6,2536.5,3317.6
0.9216,789.6,1315.0,2010.4,2704.2,3672.0
0.9316,811.6,1242.9,1812.1,2593.2,3634.5
0.9416,833.3,1221.5,1406.8,2568.8,3432.5
0.9516,580.0,826.1,1204.1,1828.9,2510.0
0.9616,849.8,1226.0,1365.6,2536.5,3317.6
0.9716,789.6,1315.0,2010.4,2704.2,3672.0
0.9816,811.6,1242.9,1812.1,2593.2,3634.5
0.9916,833.3,1221.5,1406.8,2568.8,3432.5
1.0016,580.0,826.1,1204.1,1828.9,2510.0
1.0116,849.8,1226.0,1365.6,2536.5,3317.6
1.0216,789.6,1315.0,2010.4,2704.2,3672.0
1.0316,811.6,1242.9,1812.1,2593.2,3634.5
1.0416,833.3,1221.5,1406.8,2568.8,3432.5
1.0516,580.0,826.1,1204.1,1828.9,2510.0
1.0616,849.8,1226.0,1365.6,2536.5,3317.6
1.0716,789.6,1315.0,2010.4,2704.2,3672.0
1.0816,811.6,1242.9,1812.1,2593.2,3634.5
1.0916,833.3,1221.5,1406.8,2568.8,3432.5
1.1016,580.0,826.1,1204.1,1828.9,2510.0
1.1116,849.8,1226.0,1365.6,2536.5,3317.6
1.1216,789.6,1315.0,2010.4,2704.2,3672.0
1.1316,811.6,1242.9,1812.1,2593.2,3634.5
1.1416,833.3,1221.5,1406.8,2568.8,3432.5
1.1516,580.0,826.1,1204.1,1828.9,2510.0
1.1616,849.8,1226.0,1365.6,2536.5,3317.6
1.1716,789.6,1315.0,2010.4,2704.2,3672.0
1.1816,811.6,1242.9,1812.1,2593.2,3634.5
1.1916,833.3,1221.5,1406.8,2568.8,3432.5
1.2016,580.0,826.1,1204.1,1828.9,2510.0
1.2116,849.8,1226.0,1365.6,2536.5,3317.6
1.2216,789.6,1315.0,2010.4,2704.2,3672.0
1.2316,811.6,1242.9,1812.1,2593.2,3634.5
1.2416,833.3,1221.5,1406.8,2568.8,3432.5
1.2516,580.0,826.1,1204.1,1828.9,2510.0
1.2616,849.8,1226.0,1365.6,2536.5,3317.6
1.2716,789.6,1315.0,2010.4,2704.2,3672.0
1.2816,811.6,1242.9,1812.1,2593.2,3634.5
1.2916,833.3,1221.5,1406.8,2568.8,3432.5
1.3016,580.0,826.1,1204.1,1828.9,2510.0
1.3116,849.8,1226.0,1365.6,2536.5,3317.6
1.3216,789.6,1315.0,2010.4,2704.2,3672.0
1.3316,811.6,1242.9,1812.1,2593.2,3634.5
1.3416,833.3,1221.5,1406.8,2568.8,3432.5
1.3516,580.0,826.1,1204.1,1828.9,2510.0
1.3616,849.8,1226.0,1365.6,2536.5,3317.6
1.3716,789.6,1315.0,2010.4,2704.2,3672.0
1.3816,811.6,1242.9,1812.1,2593.2,3634.5
1.3916,833.3,1221.5,1406.8,2568.8,3432.5
1.4016,580.0,826.1,1204.1,1828.9,2510.0
1.4116,849.8,1226.0,1365.6,2536.5,3317.6
1.4216,789.6,1315.0,2010.4,2704.2,3672.0
1.4316,811.6,1242.9,1812.1,2593.2,3634.5
1.4416,833.3,1221.5,1406.8,2568.8,3432.5
1.4516,580.0,826.1,1204.1,1828.9,2510.0
1.4616,849.8,1226.0,1365.6,2536.5,3317.6
1.4716,789.6,1315.0,2010.4,2704.2,3672.0
1.4816,811.6,1242.9,1812.1,2593.2,3634.5
1.4916,833.3,1221.5,1406.8,2568.8,3432.5
1.5016,580.0,826.1,1204.1,1828.9,2510.0
1.5116,849.8,1226.0,1365.6,2536.5,3317.6
1.5216,789.6,1315.0,2010.4,2704.2,3672.0
1.5316,811.6,1242.9,1812.1,2593.2,3634.5
1.5416,833.3,1221.5,1406.8,2568.8,3432.5
1.5516,580.0,826.1,1204.1,1828.9,2510.0
1.5616,849.8,1226.0,1365.6,2536.5,3317.6
1.5716,789.6,1315.0,2010.4,2704.2,3672.0
1.5816,811.6,1242.9,1812.1,2593.2,3634.5
1.5916,833.3,1221.5,1406.8,2568.8,3432.5
1.6016,580.0,826.1,1204.1,1828.9,2510.0
1.6116,849.8,1226.0,1365.6,2536.5,3317.6
1.6216,789.6,1315.0,2010.4,2704.2,3672.0
1.6316,811.6,1242.9,1812.1,2593.2,3634.5
1.6416,833.3,1221.5,1406.8,2568.8,3432.5
1.6516,580.0,826.1,1204.1,1828.9,2510.0
1.6616,849.8,1226.0,1365.6,2536.5,3317.6
1.6716,789.6,1315.0,2010.4,2704.2,3672.0
1.6816,811.6,1242.9,1812.1,2593.2,3634.5
1.6916,833.3,1221.5,1406.8,2568.8,3432.5
1.7016,580.0,826.1,1204.1,1828.9,2510.0
1.7116,849.8,1226.0,1365.6,2536.5,3317.6
1.7216,789.6,1315.0,2010.4,2704.2,3672.0
1.7316,811.6,1242.9,1812.1,2593.2,3634.5
1.7416,833.3,1221.5,1406.8,2568.8,3432.5
1.7516,580.0,826.1,1204.1,1828.9,2510.0
1.7616,849.8,1226.0,1365.6,2536.5,3317.6
1.7716,789.6,1315.0,2010.4,2704.2,3672.0
1.7816,811.6,1242.9,1812.1,2593.2,3634.5
1.7916,833.3,1221.5,1406.8,2568.8,3432.5
1.8016,580.0,826.1,1204.1,1828.9,2510.0
1.8116,849.8,1226.0,1365.6,2536.5,3317.6
1.8216,789.6,1315.0,2010.4,2704.2,3672.0
1.8316,811.6,1242.9,1812.1,2593.2,3634.5
1.8416,833.3,1221.5,1406.8,2568.8,3432.5
1.8516,580.0,826.1,1204.1,1828.9,2510.0
1.8616,849.8,1226.0,1365.6,2536.5,3317.6
1.8716,789.6,1315.0,2010.4,2704.2,3672.0
1.8816,811.6,1242.9,1812.1,2593.2,3634.5
1.8916,833.3,1221.5,1406.8,2568.8,3432.5
1.9016,580.0,826.1,1204.1,1828.9,2510.0
1.9116,849.8,1226.0,1365.6,2536.5,3317.6
1.9216,789.6,1315.0,2010.4,2704.2,3672.0
1.9316,811.6,1242.9,1812.1,2593.2,3634.5
1.9416,833.3,1221.5,1406.8,2568.8,3432.5
1.9516,580.0,826.1,1204.1,1828.9,2510.0
1.9616,849.8,1226.0,1365.6,2536.5,3317.6
1.9716,789.6,1315.0,2010.4,2704.2,3672.0
1.9816,811.6,1242.9,1812.1,2593.2,3634.5
