time_s,F1,F2,F3,F4,F5
0.0116,509.2,712.8,1590.4,1809.1,2490.0
0.0216,490.2,708.8,1604.1,1817.5,2491.5
0.0316,728.6,999.6,1843.6,2539.5,3294.1
0.0416,723.9,1075.8,1831.8,2550.3,3245.9
0.0516,494.0,711.9,1628.4,1806.2,2512.9
0.0616,749.8,1208.4,1805.1,2545.6,3299.6
0.0716,475.4,709.8,1581.2,1811.5,2489.6
0.0816,728.4,1000.7,1843.6,2539.3,3293.5
0.0916,723.9,1066.8,1831.7,2551.2,3260.5
0.1016,498.2,712.4,1631.8,1806.9,2511.6
0.1116,749.8,1208.6,1805.1,2545.6,3299.5
0.1216,475.4,709.8,1581.2,1811.5,2489.6
0.1316,728.4,1000.7,1843.6,2539.3,3293.5
0.1416,723.9,1066.8,1831.7,2551.2,3260.5
0.1516,498.2,712.4,1631.8,1806.9,2511.6
0.1616,749.8,1208.6,1805.1,2545.6,3299.5
0.1716,475.4,709.8,1581.2,1811.5,2489.6
0.1816,728.4,1000.7,1843.6,2539.3,3293.5
0.1916,723.9,1066.8,1831.7,2551.2,3260.5
0.2016,498.2,712.4,1631.8,1806.9,2511.6
0.2116,749.8,1208.6,1805.1,2545.6,3299.5
0.2216,475.4,709.8,1581.2,1811.5,2489.6
0.2316,728.4,1000.7,1843.6,2539.3,3293.5
0.2416,723.9,1066.8,1831.7,2551.2,3260.5
0.2516,498.2,712.4,1631.8,1806.9,2511.6
0.2616,749.8,1208.6,1805.1,2545.6,3299.5
0.2716,475.4,709.8,1581.2,1811.5,2489.6
0.2816,728.4,1000.7,1843.6,2539.3,3293.5
0.2916,723.9,1066.8,1831.7,2551.2,3260.5
0.3016,498.2,712.4,1631.8,1806.9,2511.6
0.3116,749.8,1208.6,1805.1,2545.6,3299.5
0.3216,475.4,709.8,1581.2,1811.5,2489.6
0.3316,728.4,1000.7,1843.6,2539.3,3293.5
0.3416,723.9,1066.8,1831.7,2551.2,3260.5
0.3516,498.2,712.4,1631.8,1806.9,2511.6
0.3616,749.8,1208.6,1805.1,2545.6,3299.5
0.3716,475.4,709.8,1581.2,1811.5,2489.6
0.3816,728.4,1000.7,1843.6,2539.3,3293.5
0.3916,723.9,1066.8,1831.7,2551.2,3260.5
0.4016,498.2,712.4,1631.8,1806.9,2511.6
0.4116,749.8,1208.6,1805.1,2545.6,3299.5
0.4216,475.4,709.8,1581.2,1811.5,2489.6
0.4316,728.4,1000.7,1843.6,2539.3,3293.5
0.4416,723.9,1066.8,1831.7,2551.2,3260.5
0.4516,498.2,712.4,1631.8,1806.9,2511.6
0.4616,749.8,1208.6,1805.1,2545.6,3299.5
0.4716,475.4,709.8,1581.2,1811.5,2489.6
0.4816,728.4,1000.7,1843.6,2539.3,3293.5
0.4916,723.9,1066.8,1831.7,2551.2,3260.5
0.5016,498.2,712.4,1631.8,1806.9,2511.6
0.5116,749.8,1208.6,1805.1,2545.6,3299.5
0.5216,475.4,709.8,1581.2,1811.5,2489.6
0.5316,728.4,1000.7,1843.6,2539.3,3293.5
0.5416,723.9,1066.8,1831.7,2551.2,3260.5
0.5516,498.2,712.4,1631.8,1806.9,2511.6
0.5616,749.8,1208.6,1805.1,2545.6,3299.5
0.5716,475.4,709.8,1581.2,1811.5,2489.6
0.5816,728.4,1000.7,1843.6,2539.3,3293.5
0.5916,723.9,1066.8,1831.7,2551.2,3260.5
0.6016,498.2,712.4,1631.8,1806.9,2511.6
0.6116,749.8,1208.6,1805.1,2545.6,3299.5
0.6216,475.4,709.8,1581.2,1811.5,2489.6
0.6316,728.4,1000.7,1843.6,2539.3,3293.5
0.6416,723.9,1066.8,1831.7,2551.2,3260.5
0.6516,498.2,712.4,1631.8,1806.9,2511.6
0.6616,749.8,1208.6,1805.1,2545.6,3299.5
0.6716,475.4,709.8,1581.2,1811.5,2489.6
0.6816,728.4,1000.7,1843.6,2539.3,3293.5
0.6916,723.9,1066.8,1831.7,2551.2,3260.5
0.7016,498.2,712.4,1631.8,1806.9,2511.6
0.7116,749.8,1208.6,1805.1,2545.6,3299.5
0.7216,475.4,709.8,1581.2,1811.5,2489.6
0.7316,728.4,1000.7,1843.6,2539.3,3293.5
0.7416,723.9,1066.8,1831.7,2551.2,3260.5
0.7516,498.2,712.4,1631.8,1806.9,2511.6
0.7616,749.8,1208.6,1805.1,2545.6,3299.5
0.7716,475.4,709.8,1581.2,1811.5,2489.6
0.7816,728.4,1000.7,1843.6,2539.3,3293.5
0.7916,723.9,1066.8,1831.7,2551.2,3260.5
0.8016,498.2,712.4,1631.8,1806.9,2511.6
0.8116,749.8,1208.6,1805.1,2545.6,3299.5
0.8216,475.4,709.8,1581.2,1811.5,2489.6
0.8316,728.4,1000.7,1843.6,2539.3,3293.5
0.8416,723.9,1066.8,1831.7,2551.2,3260.5
0.8516,498.2,712.4,1631.8,1806.9,2511.6
0.8616,749.8,1208.6,1805.1,2545.6,3299.5
0.8716,475.4,709.8,1581.2,1811.5,2489.6
0.8816,728.4,1000.7,1843.6,2539.3,3293.5
0.8916,723.9,1066.8,1831.7,2551.2,3260.5
0.9016,498.2,712.4,1631.8,1806.9,2511.6
0.9116,749.8,1208.6,1805.1,2545.6,3299.5
0.9216,475.4,709.8,1581.2,1811.5,2489.6
0.9316,728.4,1000.7,1843.6,2539.3,3293.5
0.9416,723.9,1066.8,1831.7,2551.2,3260.5
0.9516,498.2,712.4,1631.8,1806.9,2511.6
0.9616,749.8,1208.6,1805.1,2545.6,3299.5
0.9716,475.4,709.8,1581.2,1811.5,2489.6
0.9816,728.4,1000.7,1843.6,2539.3,3293.5
0.9916,723.9,1066.8,1831.7,2551.2,3260.5
1.0016,498.2,712.4,1631.8,1806.9,2511.6
1.0116,749.8,1208.6,1805.1,2545.6,3299.5
1.0216,475.4,709.8,1581.2,1811.5,2489.6
1.0316,728.4,1000.7,1843.6,2539.3,3293.5
1.0416,723.9,1066.8,1831.7,2551.2,3260.5
1.0516,498.2,712.4,1631.8,1806.9,2511.6
1.0616,749.8,1208.6,1805.1,2545.6,3299.5
1.0716,475.4,709.8,1581.2,1811.5,2489.6
1.0816,728.4,1000.7,1843.6,2539.3,3293.5
1.0916,723.9,1066.8,1831.7,2551.2,3260.5
1.1016,498.2,712.4,1631.8,1806.9,2511.6
1.1116,749.8,1208.6,1805.1,2545.6,3299.5
1.1216,475.4,709.8,1581.2,1811.5,2489.6
1.1316,728.4,1000.7,1843.6,2539.3,3293.5
1.1416,723.9,1066.8,1831.7,2551.2,3260.5
1.1516,498.2,712.4,1631.8,1806.9,2511.6
1.1616,749.8,1208.6,1805.1,2545.6,3299.5
1.1716,475.4,709.8,1581.2,1811.5,2489.6
1.1816,728.4,1000.7,1843.6,2539.3,3293.5
1.1916,723.9,1066.8,1831.7,2551.2,3260.5
