time_s,F1,F2,F3,F4,F5
0.0116,380.5,599.8,1629.1,2015.0,2588.9
0.0216,432.6,935.9,1968.5,2709.7,3552.5
0.0316,410.6,922.8,2011.7,2694.7,3476.9
0.0416,413.9,916.8,2004.0,2699.9,3520.1
0.0516,387.4,1016.8,2029.7,2659.7,3434.7
0.0616,448.7,965.5,1951.3,2741.1,3528.5
0.0716,428.7,923.3,1972.1,2706.4,3553.8
0.0816,410.0,922.9,2011.9,2694.3,3477.7
0.0916,413.9,916.8,2004.0,2699.9,3519.9
0.1016,387.4,1015.0,2029.7,2660.0,3438.0
0.1116,448.7,965.5,1951.3,2741.2,3528.8
0.1216,428.7,923.3,1972.1,2706.4,3554.0
0.1316,410.0,922.9,2011.9,2694.3,3477.7
0.1416,413.9,916.8,2004.0,2699.9,3519.9
0.1516,387.4,1015.0,2029.7,2660.0,3438.0
0.1616,448.7,965.5,1951.3,2741.2,3528.8
0.1716,428.7,923.3,1972.1,2706.4,3554.0
0.1816,410.0,922.9,2011.9,2694.3,3477.7
0.1916,413.9,916.8,2004.0,2699.9,3519.9
0.2016,387.4,1015.0,2029.7,2660.0,3438.0
0.2116,448.7,965.5,1951.3,2741.2,3528.8
0.2216,428.7,923.3,1972.1,2706.4,3554.0
0.2316,410.0,922.9,2011.9,2694.3,3477.7
0.2416,413.9,916.8,2004.0,2699.9,3519.9
0.2516,387.4,1015.0,2029.7,2660.0,3438.0
0.2616,448.7,965.5,1951.3,2741.2,3528.8
0.2716,428.7,923.3,1972.1,2706.4,3554.0
0.2816,410.0,922.9,2011.9,2694.3,3477.7
0.2916,413.9,916.8,2004.0,2699.9,3519.9
0.3016,387.4,1015.0,2029.7,2660.0,3438.0
0.3116,448.7,965.5,1951.3,2741.2,3528.8
0.3216,428.7,923.3,1972.1,2706.4,3554.0
0.3316,410.0,922.9,2011.9,2694.3,3477.7
0.3416,413.9,916.8,2004.0,2699.9,3519.9
0.3516,387.4,1015.0,2029.7,2660.0,3438.0
0.3616,448.7,965.5,1951.3,2741.2,3528.8
0.3716,428.7,923.3,1972.1,2706.4,3554.0
0.3816,410.0,922.9,2011.9,2694.3,3477.7
0.3916,413.9,916.8,2004.0,2699.9,3519.9
0.4016,387.4,1015.0,2029.7,2660.0,3438.0
0.4116,448.7,965.5,1951.3,2741.2,3528.8
0.4216,428.7,923.3,1972.1,2706.4,3554.0
0.4316,410.0,922.9,2011.9,2694.3,3477.7
0.4416,413.9,916.8,2004.0,2699.9,3519.9
0.4516,387.4,1015.0,2029.7,2660.0,3438.0
0.4616,448.7,965.5,1951.3,2741.2,3528.8
0.4716,428.7,923.3,1972.1,2706.4,3554.0
0.4816,410.0,922.9,2011.9,2694.3,3477.7
0.4916,413.9,916.8,2004.0,2699.9,3519.9
0.5016,387.4,1015.0,2029.7,2660.0,3438.0
0.5116,448.7,965.5,1951.3,2741.2,3528.8
0.5216,428.7,923.3,1972.1,2706.4,3554.0
0.5316,410.0,922.9,2011.9,2694.3,3477.7
0.5416,413.9,916.8,2004.0,2699.9,3519.9
0.5516,387.4,1015.0,2029.7,2660.0,3438.0
0.5616,448.7,965.5,1951.3,2741.2,3528.8
0.5716,428.7,923.3,1972.1,2706.4,3554.0
0.5816,410.0,922.9,2011.9,2694.3,3477.7
0.5916,413.9,916.8,2004.0,2699.9,3519.9
0.6016,387.4,1015.0,2029.7,2660.0,3438.0
0.6116,448.7,965.5,1951.3,2741.2,3528.8
0.6216,428.7,923.3,1972.1,2706.4,3554.0
0.6316,410.0,922.9,2011.9,2694.3,3477.7
0.6416,413.9,916.8,2004.0,2699.9,3519.9
0.6516,387.4,1015.0,2029.7,2660.0,3438.0
0.6616,448.7,965.5,1951.3,2741.2,3528.8
0.6716,428.7,923.3,1972.1,2706.4,3554.0
0.6816,410.0,922.9,2011.9,2694.3,3477.7
0.6916,413.9,916.8,2004.0,2699.9,3519.9
0.7016,387.4,1015.0,2029.7,2660.0,3438.0
0.7116,448.7,965.5,1951.3,2741.2,3528.8
0.7216,428.7,923.3,1972.1,2706.4,3554.0
0.7316,410.0,922.9,2011.9,2694.3,3477.7
0.7416,413.9,916.8,2004.0,2699.9,3519.9
0.7516,387.4,1015.0,2029.7,2660.0,3438.0
0.7616,448.7,965.5,1951.3,2741.2,3528.8
0.7716,428.7,923.3,1972.1,2706.4,3554.0
0.7816,410.0,922.9,2011.9,2694.3,3477.7
0.7916,413.9,916.8,2004.0,2699.9,3519.9
0.8016,387.4,1015.0,2029.7,2660.0,3438.0
0.8116,448.7,965.5,1951.3,2741.2,3528.8
0.8216,428.7,923.3,1972.1,2706.4,3554.0
0.8316,410.0,922.9,2011.9,2694.3,3477.7
0.8416,413.9,916.8,2004.0,2699.9,3519.9
0.8516,387.4,1015.0,2029.7,2660.0,3438.0
0.8616,448.7,965.5,1951.3,2741.2,3528.8
0.8716,428.7,923.3,1972.1,2706.4,3554.0
0.8816,410.0,922.9,2011.9,2694.3,3477.7
0.8916,413.9,916.8,2004.0,2699.9,3519.9
0.9016,387.4,1015.0,2029.7,2660.0,3438.0
0.9116,448.7,965.5,1951.3,2741.2,3528.8
0.9216,428.7,923.3,1972.1,2706.4,3554.0
0.9316,410.0,922.9,2011.9,2694.3,3477.7
0.9416,413.9,916.8,2004.0,2699.9,3519.9
0.9516,387.4,1015.0,2029.7,2660.0,3438.0
0.9616,448.7,965.5,1951.3,2741.2,3528.8
0.9716,428.7,923.3,1972.1,2706.4,3554.0
0.9816,410.0,922.9,2011.9,2694.3,3477.7
0.9916,413.9,916.8,2004.0,2699.9,3519.9
1.0016,387.4,1015.0,2029.7,2660.0,3438.0
1.0116,448.7,965.5,1951.3,2741.2,3528.8
1.0216,428.7,923.3,1972.1,2706.4,3554.0
1.0316,410.0,922.9,2011.9,2694.3,3477.7
1.0416,413.9,916.8,2004.0,2699.9,3519.9
1.0516,387.4,1015.0,2029.7,2660.0,3438.0
1.0616,448.7,965.5,1951.3,2741.2,3528.8
1.0716,428.7,923.3,1972.1,2706.4,3554.0
1.0816,410.0,922.9,2011.9,2694.3,3477.7
1.0916,413.9,916.8,2004.0,2699.9,3519.9
1.1016,387.4,1015.0,2029.7,2660.0,3438.0
1.1116,448.7,965.5,1951.3,2741.2,3528.8
1.1216,428.7,923.3,1972.1,2706.4,3554.0
1.1316,410.0,922.9,2011.9,2694.3,3477.7
1.1416,413.9,916.8,2004.0,2699.9,3519.9
1.1516,387.4,1015.0,2029.7,2660.0,3438.0
1.1616,448.7,965.5,1951.3,2741.2,3528.8
1.1716,428.7,923.3,1972.1,2706.4,3554.0
1.1816,410.0,922.9,2011.9,2694.3,3477.7
