time_s,F1,F2,F3,F4,F5
0.0116,238.9,610.5,1631.4,2397.2,2737.2
0.0216,341.2,1180.5,2027.7,2644.6,3440.9
0.0316,234.0,631.3,1639.0,2403.2,2744.4
0.0416,283.6,1004.0,1510.4,2375.9,3137.4
0.0516,239.7,725.1,1805.1,2414.8,3027.7
0.0616,363.2,1165.7,1728.0,2337.1,3358.3
0.0716,343.5,1178.1,1995.5,2668.7,3465.4
0.0816,234.3,630.3,1642.9,2403.0,2756.8
0.0916,283.9,1006.7,1508.0,2375.7,3137.9
0.1016,239.7,726.1,1806.2,2415.0,3028.0
0.1116,363.2,1165.6,1727.9,2337.2,3358.3
0.1216,343.5,1178.2,1995.6,2668.8,3465.6
0.1316,234.4,631.9,1645.4,2403.2,2759.8
0.1416,283.9,1006.7,1508.0,2375.7,3137.9
0.1516,239.7,726.1,1806.2,2415.0,3028.0
0.1616,363.2,1165.6,1727.9,2337.2,3358.3
0.1716,343.5,1178.2,1995.6,2668.8,3465.6
0.1816,234.4,631.9,1645.4,2403.2,2759.8
0.1916,283.9,1006.7,1508.0,2375.7,3137.9
0.2016,239.7,726.1,1806.2,2415.0,3028.0
0.2116,363.2,1165.6,1727.9,2337.2,3358.3
0.2216,343.5,1178.2,1995.6,2668.8,3465.6
0.2316,234.4,631.9,1645.4,2403.2,2759.8
0.2416,283.9,1006.7,1508.0,2375.7,3137.9
0.2516,239.7,726.1,1806.2,2415.0,3028.0
0.2616,363.2,1165.6,1727.9,2337.2,3358.3
0.2716,343.5,1178.2,1995.6,2668.8,3465.6
0.2816,234.4,631.9,1645.4,2403.2,2759.8
0.2916,283.9,1006.7,1508.0,2375.7,3137.9
0.3016,239.7,726.1,1806.2,2415.0,3028.0
0.3116,363.2,1165.6,1727.9,2337.2,3358.3
0.3216,343.5,1178.2,1995.6,2668.8,3465.6
0.3316,234.4,631.9,1645.4,2403.2,2759.8
0.3416,283.9,1006.7,1508.0,2375.7,3137.9
0.3516,239.7,726.1,1806.2,2415.0,3028.0
0.3616,363.2,1165.6,1727.9,2337.2,3358.3
0.3716,343.5,1178.2,1995.6,2668.8,3465.6
0.3816,234.4,631.9,1645.4,2403.2,2759.8
0.3916,283.9,1006.7,1508.0,2375.7,3137.9
0.4016,239.7,726.1,1806.2,2415.0,3028.0
0.4116,363.2,1165.6,1727.9,2337.2,3358.3
0.4216,343.5,1178.2,1995.6,2668.8,3465.6
0.4316,234.4,631.9,1645.4,2403.2,2759.8
0.4416,283.9,1006.7,1508.0,2375.7,3137.9
0.4516,239.7,726.1,1806.2,2415.0,3028.0
0.4616,363.2,1165.6,1727.9,2337.2,3358.3
0.4716,343.5,1178.2,1995.6,2668.8,3465.6
0.4816,234.4,631.9,1645.4,2403.2,2759.8
0.4916,283.9,1006.7,1508.0,2375.7,3137.9
0.5016,239.7,726.1,1806.2,2415.0,3028.0
0.5116,363.2,1165.6,1727.9,2337.2,3358.3
0.5216,343.5,1178.2,1995.6,2668.8,3465.6
0.5316,234.4,631.9,1645.4,2403.2,2759.8
0.5416,283.9,1006.7,1508.0,2375.7,3137.9
0.5516,239.7,726.1,1806.2,2415.0,3028.0
0.5616,363.2,1165.6,1727.9,2337.2,3358.3
0.5716,343.5,1178.2,1995.6,2668.8,3465.6
0.5816,234.4,631.9,1645.4,2403.2,2759.8
0.5916,283.9,1006.7,1508.0,2375.7,3137.9
0.6016,239.7,726.1,1806.2,2415.0,3028.0
0.6116,363.2,1165.6,1727.9,2337.2,3358.3
0.6216,343.5,1178.2,1995.6,2668.8,3465.6
0.6316,234.4,631.9,1645.4,2403.2,2759.8
0.6416,283.9,1006.7,1508.0,2375.7,3137.9
0.6516,239.7,726.1,1806.2,2415.0,3028.0
0.6616,363.2,1165.6,1727.9,2337.2,3358.3
0.6716,343.5,1178.2,1995.6,2668.8,3465.6
0.6816,234.4,631.9,1645.4,2403.2,2759.8
0.6916,283.9,1006.7,1508.0,2375.7,3137.9
0.7016,239.7,726.1,1806.2,2415.0,3028.0
0.7116,363.2,1165.6,1727.9,2337.2,3358.3
0.7216,343.5,1178.2,1995.6,2668.8,3465.6
0.7316,234.4,631.9,1645.4,2403.2,2759.8
0.7416,283.9,1006.7,1508.0,2375.7,3137.9
0.7516,239.7,726.1,1806.2,2415.0,3028.0
0.7616,363.2,1165.6,1727.9,2337.2,3358.3
0.7716,343.5,1178.2,1995.6,2668.8,3465.6
0.7816,234.4,631.9,1645.4,2403.2,2759.8
0.7916,283.9,1006.7,1508.0,2375.7,3137.9
0.8016,239.7,726.1,1806.2,2415.0,3028.0
0.8116,363.2,1165.6,1727.9,2337.2,3358.3
0.8216,343.5,1178.2,1995.6,2668.8,3465.6
0.8316,234.4,631.9,1645.4,2403.2,2759.8
0.8416,283.9,1006.7,1508.0,2375.7,3137.9
0.8516,239.7,726.1,1806.2,2415.0,3028.0
0.8616,363.2,1165.6,1727.9,2337.2,3358.3
0.8716,343.5,1178.2,1995.6,2668.8,3465.6
0.8816,234.4,631.9,1645.4,2403.2,2759.8
0.8916,283.9,1006.7,1508.0,2375.7,3137.9
0.9016,239.7,726.1,1806.2,2415.0,3028.0
0.9116,363.2,1165.6,1727.9,2337.2,3358.3
0.9216,343.5,1178.2,1995.6,2668.8,3465.6
0.9316,234.4,631.9,1645.4,2403.2,2759.8
0.9416,283.9,1006.7,1508.0,2375.7,3137.9
0.9516,239.7,726.1,1806.2,2415.0,3028.0
0.9616,363.2,1165.6,1727.9,2337.2,3358.3
0.9716,343.5,1178.2,1995.6,2668.8,3465.6
0.9816,234.4,631.9,1645.4,2403.2,2759.8
0.9916,283.9,1006.7,1508.0,2375.7,3137.9
1.0016,239.7,726.1,1806.2,2415.0,3028.0
1.0116,363.2,1165.6,1727.9,2337.2,3358.3
1.0216,343.5,1178.2,1995.6,2668.8,3465.6
1.0316,234.4,631.9,1645.4,2403.2,2759.8
1.0416,283.9,1006.7,1508.0,2375.7,3137.9
1.0516,239.7,726.1,1806.2,2415.0,3028.0
1.0616,363.2,1165.6,1727.9,2337.2,3358.3
1.0716,343.5,1178.2,1995.6,2668.8,3465.6
1.0816,234.4,631.9,1645.4,2403.2,2759.8
