time_s,F1,F2,F3,F4,F5
0.0116,488.7,655.3,807.4,1797.1,2788.9
0.0216,490.0,882.2,1605.8,2516.0,3320.6
0.0316,490.9,819.4,1613.6,2768.8,3911.8
0.0416,477.7,880.4,1621.3,2486.4,3335.0
0.0516,501.0,831.6,1634.7,2800.8,3864.7
0.0616,528.6,894.4,1667.8,2518.5,3245.9
0.0716,494.6,889.2,1620.3,2510.6,3322.6
0.0816,491.1,818.9,1612.5,2772.8,3828.0
0.0916,477.7,880.4,1621.3,2486.6,3335.2
0.1016,500.9,831.4,1637.3,2803.2,3878.9
0.1116,528.6,894.4,1667.9,2518.5,3246.0
0.1216,494.6,889.2,1620.3,2510.5,3322.8
0.1316,491.1,818.9,1612.5,2772.8,3828.0
0.1416,477.7,880.4,1621.3,2486.6,3335.2
0.1516,500.9,831.4,1637.3,2803.2,3878.9
0.1616,528.6,894.4,1667.9,2518.5,3246.0
0.1716,494.6,889.2,1620.3,2510.5,3322.8
0.1816,491.1,818.9,1612.5,2772.8,3828.0
0.1916,477.7,880.4,1621.3,2486.6,3335.2
0.2016,500.9,831.4,1637.3,2803.2,3878.9
0.2116,528.6,894.4,1667.9,2518.5,3246.0
0.2216,494.6,889.2,1620.3,2510.5,3322.8
0.2316,491.1,818.9,1612.5,2772.8,3828.0
0.2416,477.7,880.4,1621.3,2486.6,3335.2
0.2516,500.9,831.4,1637.3,2803.2,3878.9
0.2616,528.6,894.4,1667.9,2518.5,3246.0
0.2716,494.6,889.2,1620.3,2510.5,3322.8
0.2816,491.1,818.9,1612.5,2772.8,3828.0
0.2916,477.7,880.4,1621.3,2486.6,3335.2
0.3016,500.9,831.4,1637.3,2803.2,3878.9
0.3116,528.6,894.4,1667.9,2518.5,3246.0
0.3216,494.6,889.2,1620.3,2510.5,3322.8
0.3316,491.1,818.9,1612.5,2772.8,3828.0
0.3416,477.7,880.4,1621.3,2486.6,3335.2
0.3516,500.9,831.4,1637.3,2803.2,3878.9
0.3616,528.6,894.4,1667.9,2518.5,3246.0
0.3716,494.6,889.2,1620.3,2510.5,3322.8
0.3816,491.1,818.9,1612.5,2772.8,3828.0
0.3916,477.7,880.4,1621.3,2486.6,3335.2
0.4016,500.9,831.4,1637.3,2803.2,3878.9
0.4116,528.6,894.4,1667.9,2518.5,3246.0
0.4216,494.6,889.2,1620.3,2510.5,3322.8
0.4316,491.1,818.9,1612.5,2772.8,3828.0
0.4416,477.7,880.4,1621.3,2486.6,3335.2
0.4516,500.9,831.4,1637.3,2803.2,3878.9
0.4616,528.6,894.4,1667.9,2518.5,3246.0
0.4716,494.6,889.2,1620.3,2510.5,3322.8
0.4816,491.1,818.9,1612.5,2772.8,3828.0
0.4916,477.7,880.4,1621.3,2486.6,3335.2
0.5016,500.9,831.4,1637.3,2803.2,3878.9
0.5116,528.6,894.4,1667.9,2518.5,3246.0
0.5216,494.6,889.2,1620.3,2510.5,3322.8
0.5316,491.1,818.9,1612.5,2772.8,3828.0
0.5416,477.7,880.4,1621.3,2486.6,3335.2
0.5516,500.9,831.4,1637.3,2803.2,3878.9
0.5616,528.6,894.4,1667.9,2518.5,3246.0
0.5716,494.6,889.2,1620.3,2510.5,3322.8
0.5816,491.1,818.9,1612.5,2772.8,3828.0
0.5916,477.7,880.4,1621.3,2486.6,3335.2
0.6016,500.9,831.4,1637.3,2803.2,3878.9
0.6116,528.6,894.4,1667.9,2518.5,3246.0
0.6216,494.6,889.2,1620.3,2510.5,3322.8
0.6316,491.1,818.9,1612.5,2772.8,3828.0
