time_s,F1,F2,F3,F4,F5
0.0116,295.5,561.2,708.4,1861.8,2198.4
0.0216,423.6,1099.5,1913.1,2720.1,3517.4
0.0316,375.7,867.5,1734.8,2581.6,3415.7
0.0416,317.6,822.1,1640.7,2470.7,3339.5
0.0516,370.3,925.8,1778.7,2603.2,3435.8
0.0616,346.5,836.7,1620.9,2470.2,3350.2
0.0716,420.3,1091.3,1906.2,2714.7,3513.3
0.0816,377.7,870.0,1737.4,2583.8,3417.5
0.0916,317.2,821.5,1638.9,2468.4,3337.7
0.1016,370.4,925.9,1778.9,2603.5,3436.4
0.1116,346.5,836.8,1621.2,2470.7,3350.2
0.1216,420.3,1091.3,1906.2,2714.7,3513.3
0.1316,377.7,870.0,1737.4,2583.8,3417.5
0.1416,317.2,821.5,1638.9,2468.4,3337.7
0.1516,370.4,925.9,1778.9,2603.5,3436.4
0.1616,346.5,836.8,1621.2,2470.7,3350.2
0.1716,420.3,1091.3,1906.2,2714.7,3513.3
0.1816,377.7,870.0,1737.4,2583.8,3417.5
0.1916,317.2,821.5,1638.9,2468.4,3337.7
0.2016,370.4,925.9,1778.9,2603.5,3436.4
0.2116,346.5,836.8,1621.2,2470.7,3350.2
0.2216,420.3,1091.3,1906.2,2714.7,3513.3
0.2316,377.7,870.0,1737.4,2583.8,3417.5
0.2416,317.2,821.5,1638.9,2468.4,3337.7
0.2516,370.4,925.9,1778.9,2603.5,3436.4
0.2616,346.5,836.8,1621.2,2470.7,3350.2
0.2716,420.3,1091.3,1906.2,2714.7,3513.3
0.2816,377.7,870.0,1737.4,2583.8,3417.5
0.2916,317.2,821.5,1638.9,2468.4,3337.7
0.3016,370.4,925.9,1778.9,2603.5,3436.4
0.3116,346.5,836.8,1621.2,2470.7,3350.2
0.3216,420.3,1091.3,1906.2,2714.7,3513.3
0.3316,377.7,870.0,1737.4,2583.8,3417.5
0.3416,317.2,821.5,1638.9,2468.4,3337.7
0.3516,370.4,925.9,1778.9,2603.5,3436.4
0.3616,346.5,836.8,1621.2,2470.7,3350.2
0.3716,420.3,1091.3,1906.2,2714.7,3513.3
0.3816,377.7,870.0,1737.4,2583.8,3417.5
0.3916,317.2,821.5,1638.9,2468.4,3337.7
0.4016,370.4,925.9,1778.9,2603.5,3436.4
0.4116,346.5,836.8,1621.2,2470.7,3350.2
0.4216,420.3,1091.3,1906.2,2714.7,3513.3
0.4316,377.7,870.0,1737.4,2583.8,3417.5
0.4416,317.2,821.5,1638.9,2468.4,3337.7
0.4516,370.4,925.9,1778.9,2603.5,3436.4
0.4616,346.5,836.8,1621.2,2470.7,3350.2
0.4716,420.3,1091.3,1906.2,2714.7,3513.3
0.4816,377.7,870.0,1737.4,2583.8,3417.5
0.4916,317.2,821.5,1638.9,2468.4,3337.7
0.5016,370.4,925.9,1778.9,2603.5,3436.4
0.5116,346.5,836.8,1621.2,2470.7,3350.2
0.5216,420.3,1091.3,1906.2,2714.7,3513.3
0.5316,377.7,870.0,1737.4,2583.8,3417.5
0.5416,317.2,821.5,1638.9,2468.4,3337.7
0.5516,370.4,925.9,1778.9,2603.5,3436.4
0.5616,346.5,836.8,1621.2,2470.7,3350.2
0.5716,420.3,1091.3,1906.2,2714.7,3513.3
0.5816,377.7,870.0,1737.4,2583.8,3417.5
0.5916,317.2,821.5,1638.9,2468.4,3337.7
0.6016,370.4,925.9,1778.9,2603.5,3436.4
0.6116,346.5,836.8,1621.2,2470.7,3350.2
