time_s,F1,F2,F3,F4,F5
0.0300,806.9,884.6,1210.3,2492.2,2839.2
0.0400,807.9,881.6,1209.2,2494.9,2818.7
0.0500,807.8,888.7,1209.2,2494.7,2819.4
0.0600,807.4,889.7,1208.7,2496.1,2797.9
0.0700,807.0,887.1,1209.0,2495.1,2811.0
0.0800,807.7,877.4,1208.5,2496.5,2801.4
0.0900,808.1,876.8,1209.6,2494.9,2798.7
0.1000,807.8,888.2,1209.3,2494.7,2817.8
0.1100,807.4,889.7,1208.6,2496.3,2796.9
0.1200,807.0,887.0,1208.9,2495.3,2810.3
0.1300,807.7,877.3,1208.5,2496.6,2800.8
0.1400,808.1,876.7,1209.5,2495.0,2798.1
0.1500,807.8,888.2,1209.2,2494.8,2817.1
0.1600,807.4,889.7,1208.6,2496.4,2796.4
0.1700,807.1,886.9,1208.9,2495.4,2809.6
0.1800,807.7,877.2,1208.4,2496.7,2800.3
0.1900,808.1,876.6,1209.5,2495.1,2797.6
0.2000,807.8,888.1,1209.2,2494.9,2816.6
0.2100,807.4,889.6,1208.6,2496.4,2796.2
0.2200,807.1,886.9,1208.8,2495.5,2809.2
0.2300,807.7,877.2,1208.4,2496.8,2800.0
0.2400,808.1,876.6,1209.4,2495.1,2797.4
0.2500,807.8,888.1,1209.1,2494.9,2816.4
0.2600,807.4,889.6,1208.5,2496.5,2796.1
0.2700,807.1,886.9,1208.8,2495.5,2809.1
0.2800,807.7,877.2,1208.4,2496.8,2799.9
0.2900,808.1,876.6,1209.4,2495.1,2797.4
0.3000,807.8,888.1,1209.1,2494.9,2816.5
0.3100,807.4,889.6,1208.6,2496.4,2796.2
0.3200,807.1,886.9,1208.8,2495.5,2809.3
0.3300,807.7,877.2,1208.4,2496.7,2800.2
0.3400,808.1,876.6,1209.5,2495.1,2797.7
0.3500,807.8,888.2,1209.2,2494.8,2816.9
0.3600,807.4,889.7,1208.6,2496.4,2796.4
0.3700,807.1,886.9,1208.9,2495.4,2809.8
0.3800,807.7,877.3,1208.5,2496.7,2800.6
0.3900,808.1,876.7,1209.5,2495.0,2798.2
0.4000,807.8,888.2,1209.2,2494.7,2817.4
0.4100,807.4,889.7,1208.6,2496.3,2796.8
0.4200,807.0,887.0,1208.9,2495.2,2810.5
0.4300,807.7,877.4,1208.5,2496.6,2801.3
0.4400,808.1,876.8,1209.6,2494.8,2798.8
0.4500,807.8,888.3,1209.3,2494.6,2818.2
0.4600,807.4,889.7,1208.7,2496.2,2797.4
0.4700,807.0,887.1,1209.0,2495.1,2811.5
