time_s,F1,F2,F3,F4,F5
0.0300,380.3,933.9,1999.5,2588.4,2802.5
0.0400,379.5,938.4,1999.8,2588.4,2801.0
0.0500,380.0,939.7,2000.2,2589.3,2802.2
0.0600,381.6,934.7,2000.6,2592.9,2786.1
0.0700,382.6,932.0,2000.9,2595.2,2781.7
0.0800,380.9,935.3,2000.1,2590.6,2801.0
0.0900,380.9,940.2,2001.3,2594.4,2786.6
0.1000,380.2,940.3,2000.5,2590.2,2800.6
0.1100,381.6,933.8,2000.4,2592.9,2783.2
0.1200,382.7,932.2,2001.0,2595.3,2782.3
0.1300,381.0,935.4,2000.2,2591.1,2799.9
0.1400,381.1,940.4,2001.5,2595.1,2784.3
0.1500,380.4,940.4,2000.6,2590.8,2799.1
0.1600,381.7,933.9,2000.5,2593.4,2781.5
0.1700,382.8,932.2,2001.2,2595.9,2780.0
0.1800,381.1,935.5,2000.4,2591.6,2798.6
0.1900,381.2,940.5,2001.7,2595.7,2782.2
0.2000,380.5,940.5,2000.7,2591.2,2797.8
0.2100,381.8,933.9,2000.7,2593.9,2780.1
0.2200,382.9,932.3,2001.3,2596.3,2778.2
0.2300,381.2,935.5,2000.4,2591.9,2797.6
0.2400,381.3,940.6,2001.8,2596.1,2780.6
0.2500,380.6,940.5,2000.8,2591.6,2796.8
0.2600,381.9,933.9,2000.7,2594.2,2779.1
0.2700,383.0,932.3,2001.4,2596.6,2777.0
0.2800,381.2,935.6,2000.5,2592.1,2797.1
0.2900,381.4,940.6,2001.8,2596.4,2779.7
0.3000,380.6,940.6,2000.9,2591.8,2796.3
0.3100,381.9,933.9,2000.8,2594.3,2778.7
0.3200,383.1,932.3,2001.4,2596.7,2776.5
0.3300,381.2,935.6,2000.5,2592.2,2796.9
0.3400,381.4,940.6,2001.8,2596.4,2779.6
0.3500,380.6,940.6,2000.9,2591.8,2796.3
0.3600,381.9,933.9,2000.8,2594.3,2778.8
0.3700,383.0,932.3,2001.4,2596.7,2776.8
0.3800,381.2,935.5,2000.5,2592.1,2797.1
0.3900,381.4,940.6,2001.8,2596.2,2780.2
0.4000,380.6,940.5,2000.8,2591.6,2796.8
0.4100,381.9,933.9,2000.7,2594.1,2779.5
0.4200,383.0,932.3,2001.3,2596.4,2777.9
0.4300,381.1,935.5,2000.4,2591.9,2797.8
0.4400,381.3,940.5,2001.7,2595.9,2781.5
0.4500,380.5,940.5,2000.7,2591.3,2797.8
0.4600,381.8,933.9,2000.6,2593.7,2780.7
