time_s,F1,F2,F3,F4,F5
0.0300,241.3,933.5,2394.1,2753.5,3012.0
0.0400,241.4,943.1,2393.7,2760.6,3012.5
0.0500,241.4,934.7,2393.4,2756.3,3012.9
0.0600,241.3,922.7,2393.6,2757.3,3012.3
0.0700,241.5,920.8,2395.3,2741.1,3010.1
0.0800,241.4,935.6,2394.6,2755.3,3011.1
0.0900,241.6,945.8,2394.6,2758.0,3011.1
0.1000,241.9,938.5,2395.5,2744.0,3009.9
0.1100,241.4,921.9,2394.1,2749.2,3011.9
0.1200,241.8,919.5,2396.6,2718.3,3008.8
0.1300,241.6,936.8,2395.5,2745.2,3009.9
0.1400,241.8,947.2,2395.3,2750.4,3010.1
0.1500,242.0,939.4,2396.2,2733.1,3009.1
0.1600,241.5,921.9,2394.8,2743.3,3011.0
0.1700,241.9,918.7,2397.2,2704.3,3008.1
0.1800,241.7,937.5,2396.1,2736.9,3009.2
0.1900,241.9,948.3,2395.8,2743.6,3009.5
0.2000,242.2,939.9,2396.7,2723.4,3008.5
0.2100,241.6,921.8,2395.2,2738.1,3010.5
0.2200,242.0,918.0,2397.6,2692.5,3007.7
0.2300,241.8,938.0,2396.5,2730.0,3008.8
0.2400,242.0,949.0,2396.2,2738.2,3009.2
0.2500,242.2,940.3,2397.1,2716.2,3008.2
0.2600,241.7,921.8,2395.5,2734.5,3010.1
0.2700,242.1,917.4,2397.9,2684.7,3007.5
0.2800,241.9,938.3,2396.7,2725.8,3008.6
0.2900,242.0,949.4,2396.4,2735.2,3009.0
0.3000,242.3,940.4,2397.2,2712.6,3008.1
0.3100,241.7,921.7,2395.6,2732.9,3010.0
0.3200,242.1,917.2,2398.0,2682.0,3007.4
0.3300,241.9,938.4,2396.8,2724.8,3008.5
0.3400,242.0,949.5,2396.4,2734.9,3008.9
0.3500,242.3,940.4,2397.2,2713.0,3008.1
0.3600,241.7,921.7,2395.6,2733.6,3010.1
0.3700,242.1,917.4,2397.9,2684.8,3007.5
0.3800,241.8,938.2,2396.6,2727.1,3008.6
0.3900,242.0,949.1,2396.2,2737.5,3009.1
0.4000,242.2,940.2,2397.0,2717.4,3008.3
0.4100,241.7,921.8,2395.4,2736.4,3010.3
0.4200,242.0,918.0,2397.6,2692.5,3007.7
0.4300,241.8,937.9,2396.4,2732.3,3008.9
0.4400,241.9,948.5,2395.9,2742.3,3009.4
0.4500,242.1,939.9,2396.7,2724.8,3008.6
0.4600,241.6,921.9,2395.0,2740.9,3010.8
0.4700,241.9,918.7,2397.2,2703.6,3008.1
0.4800,241.7,937.3,2395.9,2739.3,3009.4
0.4900,241.8,947.5,2395.5,2748.5,3010.0
0.5000,242.0,939.3,2396.2,2734.0,3009.1
0.5100,241.5,921.9,2394.5,2746.1,3011.4
0.5200,241.8,919.4,2396.7,2716.3,3008.7
0.5300,241.6,936.6,2395.4,2747.1,3010.1
0.5400,241.7,946.4,2394.9,2755.1,3010.7
0.5500,241.9,938.6,2395.5,2743.6,3009.8
0.5600,241.4,921.8,2393.9,2751.3,3012.2
0.5700,241.6,919.9,2396.0,2728.9,3009.4
0.5800,241.4,935.7,2394.7,2754.5,3010.9
0.5900,241.5,945.0,2394.2,2761.2,3011.5
0.6000,241.7,937.7,2394.7,2752.6,3010.8
0.6100,241.2,921.6,2393.2,2756.0,3013.2
0.6200,241.5,920.2,2395.2,2740.2,3010.3
0.6300,241.3,934.8,2393.9,2760.8,3012.0
0.6400,241.4,943.7,2393.4,2766.4,3012.6
0.6500,241.5,936.7,2393.9,2760.0,3011.9
0.6600,241.1,921.4,2392.4,2759.6,3014.3
0.6700,241.3,920.2,2394.4,2749.3,3011.5
0.6800,241.1,933.7,2393.1,2765.5,3013.1
0.6900,241.2,942.4,2392.6,2770.1,3013.8
0.7000,241.4,935.6,2392.9,2765.6,3013.2
0.7100,240.9,921.1,2391.7,2762.2,3015.4
0.7200,241.1,920.1,2393.5,2756.0,3012.7
0.7300,240.9,932.8,2392.3,2768.7,3014.4
0.7400,241.1,941.2,2391.8,2772.6,3014.9
0.7500,241.2,934.6,2392.0,2769.4,3014.5
0.7600,240.8,920.8,2391.1,2763.7,3016.5
0.7700,240.9,919.8,2392.6,2760.4,3014.0
0.7800,240.8,931.9,2391.6,2770.5,3015.5
0.7900,241.0,940.2,2391.2,2773.9,3016.0
0.8000,241.1,933.7,2391.2,2771.6,3015.9
0.8100,240.8,920.6,2390.6,2764.4,3017.2
0.8200,240.8,919.5,2391.9,2763.0,3015.1
0.8300,240.7,931.3,2391.0,2771.4,3016.4
0.8400,240.9,939.6,2390.8,2774.5,3016.7
0.8500,240.9,933.0,2390.5,2772.6,3016.9
0.8600,240.7,920.5,2390.5,2764.6,3017.5
0.8700,240.7,919.2,2391.3,2764.2,3016.0
0.8800,240.7,931.1,2390.8,2771.6,3016.8
0.8900,240.9,939.5,2390.7,2774.7,3016.9
0.9000,240.9,932.6,2390.2,2773.0,3017.6
0.9100,240.8,920.6,2390.6,2764.4,3017.2
0.9200,240.7,919.1,2391.1,2764.6,3016.4
0.9300,240.7,931.2,2391.0,2771.5,3016.5
0.9400,241.0,939.8,2390.9,2774.4,3016.5
0.9500,240.9,932.6,2390.1,2773.0,3017.6
0.9600,240.9,920.8,2391.2,2763.4,3016.2
0.9700,240.7,919.2,2391.3,2764.3,3016.1
0.9800,240.8,931.8,2391.5,2770.7,3015.7
0.9900,241.1,940.7,2391.5,2773.3,3015.4
1.0000,240.9,933.0,2390.5,2772.6,3016.9
1.0100,241.0,921.3,2392.1,2760.7,3014.7
1.0200,240.8,919.5,2391.9,2762.9,3015.1
1.0300,241.0,932.9,2392.4,2768.3,3014.2
1.0400,241.2,942.2,2392.5,2770.4,3013.9
1.0500,241.1,933.8,2391.3,2771.3,3015.6
1.0600,241.3,921.7,2393.4,2754.7,3012.9
1.0700,241.0,919.9,2392.8,2759.4,3013.7
1.0800,241.2,934.4,2393.6,2762.7,3012.4
1.0900,241.5,944.4,2393.8,2763.9,3012.0
1.1000,241.3,935.1,2392.5,2767.7,3013.8
1.1100,241.6,921.9,2394.8,2742.6,3011.0
1.1200,241.2,920.2,2394.1,2751.8,3011.9
1.1300,241.5,936.2,2395.1,2750.7,3010.5
1.1400,241.8,947.2,2395.3,2750.6,3010.2
1.1500,241.5,936.7,2393.9,2759.9,3011.9
1.1600,241.9,921.3,2396.4,2719.8,3009.1
1.1700,241.5,920.2,2395.5,2736.7,3010.0
1.1800,241.8,938.2,2396.6,2727.7,3008.7
1.1900,242.1,950.6,2396.9,2725.7,3008.5
1.2000,241.9,938.5,2395.4,2744.7,3009.9
1.2100,242.3,918.7,2398.0,2678.6,3007.5
1.2200,241.9,919.0,2397.0,2708.9,3008.3
1.2300,242.2,939.8,2398.2,2684.9,3007.1
1.2400,242.5,954.5,2398.4,2680.3,3007.0
1.2500,242.2,940.2,2397.0,2717.0,3008.2
1.2600,242.7,910.2,2399.5,2603.3,3006.2
1.2700,242.3,915.0,2398.5,2658.5,3006.9
1.2800,242.6,939.3,2399.7,2604.6,3005.9
1.2900,242.9,958.3,2399.9,2596.0,3005.8
1.3000,242.6,941.3,2398.6,2667.9,3006.8
1.3100,243.1,877.1,2401.0,2458.2,3005.2
1.3200,242.7,902.2,2400.0,2565.8,3005.7
1.3300,243.0,924.8,2401.0,2442.4,3005.0
1.3400,243.2,954.3,2401.3,2425.4,3004.9
1.3500,243.0,939.1,2400.0,2579.8,3005.7
1.3600,243.5,569.1,2184.7,2402.3,3004.4
1.3700,243.1,843.7,2384.6,2401.3,3004.8
1.3800,243.4,645.9,2113.8,2402.3,3004.3
1.3900,243.6,715.6,2078.2,2402.5,3004.2
1.4000,243.4,918.1,2401.4,2410.6,3004.8
1.4100,243.9,1989.3,2403.4,3003.8,--undefined--
1.4200,243.4,2096.9,2402.5,3004.2,--undefined--
1.4300,243.7,1936.0,2403.3,3003.7,--undefined--
1.4400,244.0,1915.5,2403.6,3003.7,--undefined--
1.4500,243.7,590.4,2106.9,2402.5,3004.2
1.4600,244.3,1933.1,2404.4,3003.4,--undefined--
1.4700,243.8,1964.4,2403.5,3003.7,--undefined--
1.4800,244.1,1897.3,2404.3,3003.4,--undefined--
1.4900,244.3,1883.7,2404.5,3003.4,--undefined--
1.5000,244.1,1947.9,2403.6,3003.7,--undefined--
1.5100,244.6,1910.8,2405.2,3003.1,--undefined--
1.5200,244.1,1924.0,2404.4,3003.3,--undefined--
1.5300,244.4,1882.8,2405.1,3003.1,--undefined--
1.5400,244.6,1872.1,2405.3,3003.1,--undefined--
1.5500,244.4,1907.6,2404.4,3003.4,--undefined--
1.5600,244.9,1899.2,2406.0,3002.9,--undefined--
1.5700,244.4,1906.2,2405.1,3003.0,--undefined--
1.5800,244.7,1875.6,2405.8,3002.9,--undefined--
1.5900,244.9,1866.4,2406.0,3002.9,--undefined--
1.6000,244.7,1891.5,2405.2,3003.1,--undefined--
1.6100,245.2,1892.4,2406.6,3002.7,--undefined--
1.6200,244.7,1896.7,2405.7,3002.8,--undefined--
1.6300,244.9,1871.4,2406.3,3002.7,--undefined--
1.6400,245.1,1863.1,2406.5,3002.8,--undefined--
1.6500,244.9,1883.3,2405.8,3002.9,--undefined--
1.6600,245.4,1888.1,2407.1,3002.6,--undefined--
1.6700,244.9,1890.9,2406.2,3002.7,--undefined--
