time_s,F1,F2,F3,F4,F5
0.0300,494.3,816.0,1877.0,2797.7,--undefined--
0.0400,492.5,815.9,1887.7,2796.8,--undefined--
0.0500,494.8,817.3,1907.4,2799.6,--undefined--
0.0600,497.7,818.0,1910.2,2802.1,--undefined--
0.0700,494.6,815.1,1896.9,2798.7,--undefined--
0.0800,496.5,817.8,1908.6,2801.3,--undefined--
0.0900,495.9,818.7,1911.1,2801.3,--undefined--
0.1000,494.1,816.7,1899.5,2798.8,--undefined--
0.1100,498.1,818.2,1909.7,2802.1,--undefined--
0.1200,495.3,815.6,1900.3,2799.5,--undefined--
0.1300,496.9,818.1,1910.3,2801.8,--undefined--
0.1400,496.4,819.0,1912.6,2801.8,--undefined--
0.1500,494.6,817.2,1902.2,2799.4,--undefined--
0.1600,498.4,818.4,1910.9,2802.5,--undefined--
0.1700,495.8,816.0,1902.5,2800.0,--undefined--
0.1800,497.2,818.3,1911.5,2802.1,--undefined--
0.1900,496.7,819.3,1913.7,2802.2,--undefined--
0.2000,495.1,817.5,1904.1,2799.9,--undefined--
0.2100,498.6,818.6,1911.7,2802.7,--undefined--
0.2200,496.2,816.3,1904.0,2800.4,--undefined--
0.2300,497.4,818.4,1912.3,2802.3,--undefined--
0.2400,497.0,819.4,1914.4,2802.5,--undefined--
0.2500,495.4,817.7,1905.4,2800.2,--undefined--
0.2600,498.8,818.7,1912.2,2802.9,--undefined--
0.2700,496.4,816.5,1904.9,2800.7,--undefined--
0.2800,497.6,818.5,1912.8,2802.5,--undefined--
0.2900,497.1,819.5,1914.8,2802.6,--undefined--
0.3000,495.5,817.9,1906.0,2800.4,--undefined--
0.3100,498.8,818.7,1912.5,2803.0,--undefined--
0.3200,496.5,816.5,1905.3,2800.8,--undefined--
0.3300,497.6,818.6,1913.0,2802.5,--undefined--
0.3400,497.2,819.6,1915.0,2802.6,--undefined--
0.3500,495.5,817.9,1906.1,2800.5,--undefined--
0.3600,498.8,818.7,1912.5,2803.0,--undefined--
0.3700,496.5,816.5,1905.3,2800.8,--undefined--
0.3800,497.6,818.5,1912.9,2802.5,--undefined--
0.3900,497.1,819.5,1914.8,2802.6,--undefined--
0.4000,495.4,817.8,1905.7,2800.3,--undefined--
0.4100,498.8,818.7,1912.3,2802.9,--undefined--
0.4200,496.3,816.4,1904.7,2800.6,--undefined--
0.4300,497.5,818.5,1912.5,2802.4,--undefined--
0.4400,497.0,819.4,1914.4,2802.4,--undefined--
0.4500,495.2,817.6,1904.8,2800.1,--undefined--
0.4600,498.6,818.6,1911.8,2802.8,--undefined--
0.4700,496.1,816.2,1903.7,2800.4,--undefined--
0.4800,497.3,818.3,1911.8,2802.2,--undefined--
0.4900,496.7,819.3,1913.7,2802.2,--undefined--
0.5000,494.9,817.4,1903.3,2799.7,--undefined--
0.5100,498.4,818.4,1911.0,2802.5,--undefined--
0.5200,495.7,815.9,1902.1,2799.9,--undefined--
0.5300,497.0,818.1,1910.7,2801.9,--undefined--
0.5400,496.4,819.0,1912.6,2801.8,--undefined--
0.5500,494.4,817.0,1901.1,2799.2,--undefined--
0.5600,498.1,818.2,1910.0,2802.2,--undefined--
0.5700,495.2,815.6,1899.8,2799.4,--undefined--
0.5800,496.7,817.9,1909.3,2801.5,--undefined--
0.5900,496.0,818.7,1911.2,2801.3,--undefined--
0.6000,493.8,816.5,1898.2,2798.5,--undefined--
0.6100,497.8,818.0,1908.5,2801.8,--undefined--
0.6200,494.5,815.0,1897.0,2798.6,--undefined--
0.6300,496.2,817.5,1907.3,2801.0,--undefined--
0.6400,495.4,818.3,1909.2,2800.7,--undefined--
0.6500,493.0,815.9,1894.8,2797.6,--undefined--
0.6600,497.3,817.6,1906.7,2801.3,--undefined--
0.6700,493.7,814.4,1894.3,2797.7,--undefined--
0.6800,495.6,817.1,1904.8,2800.3,--undefined--
0.6900,494.7,817.7,1906.8,2799.9,--undefined--
0.7000,492.2,815.2,1893.6,2796.6,--undefined--
0.7100,496.7,817.2,1904.3,2800.7,--undefined--
0.7200,492.9,813.7,1898.1,2796.7,--undefined--
0.7300,495.0,816.7,1901.7,2799.6,--undefined--
0.7400,493.9,817.1,1904.0,2799.0,--undefined--
0.7500,491.4,814.5,1931.2,2795.7,--undefined--
0.7600,496.0,816.7,1901.3,2799.9,--undefined--
0.7700,492.1,626.5,813.0,2043.7,2795.8
0.7800,494.3,816.1,1897.9,2798.8,--undefined--
0.7900,493.0,816.4,1901.1,2798.0,--undefined--
0.8000,490.8,813.9,952.7,2344.6,2794.9
0.8100,495.3,816.1,1897.7,2799.1,--undefined--
0.8200,491.5,812.5,945.9,2475.9,2795.1
0.8300,493.7,815.6,1894.0,2798.0,--undefined--
0.8400,492.1,815.7,1900.7,2797.0,--undefined--
0.8500,490.5,813.6,967.9,2511.2,2794.4
0.8600,494.5,815.5,1893.7,2798.3,--undefined--
0.8700,491.3,812.3,952.5,2556.1,2794.8
0.8800,493.2,815.2,1890.7,2797.4,--undefined--
0.8900,491.5,815.1,1910.4,2796.3,--undefined--
0.9000,490.6,813.7,963.2,2437.5,2794.7
0.9100,493.9,815.0,1890.3,2797.5,--undefined--
0.9200,491.6,812.6,936.1,2398.6,2795.2
0.9300,492.9,815.0,1889.4,2797.1,--undefined--
0.9400,491.2,814.9,1927.2,2796.0,--undefined--
0.9500,491.3,814.4,1962.6,2795.5,--undefined--
0.9600,493.5,814.7,1888.5,2797.1,--undefined--
0.9700,492.5,813.4,1916.5,2796.3,--undefined--
0.9800,493.1,815.1,1890.4,2797.3,--undefined--
0.9900,491.5,815.1,1911.4,2796.2,--undefined--
1.0000,492.4,815.3,1893.2,2796.9,--undefined--
1.0100,493.5,814.7,1888.5,2797.1,--undefined--
1.0200,493.7,814.4,1894.2,2797.7,--undefined--
1.0300,493.6,815.6,1893.9,2798.0,--undefined--
1.0400,492.2,815.7,1900.6,2797.1,--undefined--
1.0500,493.7,816.4,1897.9,2798.4,--undefined--
1.0600,494.0,815.1,1890.8,2797.6,--undefined--
1.0700,495.1,815.5,1899.3,2799.2,--undefined--
1.0800,494.5,816.2,1898.9,2799.0,--undefined--
1.0900,493.3,816.6,1902.1,2798.4,--undefined--
1.1000,495.1,817.5,1904.1,2799.9,--undefined--
1.1100,494.7,815.7,1895.0,2798.5,--undefined--
1.1200,496.3,816.4,1904.7,2800.6,--undefined--
1.1300,495.4,817.0,1903.9,2800.1,--undefined--
1.1400,494.5,817.6,1906.3,2799.8,--undefined--
1.1500,496.3,818.4,1909.0,2801.3,--undefined--
1.1600,495.7,816.4,1899.8,2799.6,--undefined--
1.1700,497.5,817.2,1908.9,2801.8,--undefined--
1.1800,496.4,817.7,1908.2,2801.2,--undefined--
1.1900,495.7,818.5,1910.3,2801.0,--undefined--
1.2000,497.3,819.2,1912.8,2802.4,--undefined--
1.2100,496.7,817.2,1904.3,2800.7,--undefined--
1.2200,498.4,817.9,1912.2,2802.8,--undefined--
1.2300,497.3,818.3,1911.8,2802.2,--undefined--
1.2400,496.7,819.3,1913.6,2802.2,--undefined--
1.2500,498.1,819.8,1915.7,2803.3,--undefined--
1.2600,497.6,817.9,1908.0,2801.7,--undefined--
1.2700,499.1,818.4,1914.7,2803.6,--undefined--
1.2800,498.0,818.8,1914.6,2803.0,--undefined--
1.2900,497.6,819.9,1916.3,2803.1,--undefined--
1.3000,498.8,820.3,1917.9,2804.0,--undefined--
1.3100,498.4,818.4,1911.0,2802.5,--undefined--
1.3200,499.7,818.8,1916.7,2804.2,--undefined--
1.3300,498.6,819.3,1916.8,2803.7,--undefined--
1.3400,498.3,820.4,1918.4,2803.9,--undefined--
1.3500,499.4,820.7,1919.7,2804.6,--undefined--
1.3600,499.1,818.9,1913.3,2803.2,--undefined--
1.3700,500.1,819.1,1918.2,2804.7,--undefined--
1.3800,499.1,819.6,1918.6,2804.2,--undefined--
1.3900,498.8,820.8,1920.1,2804.5,--undefined--
1.4000,499.8,821.0,1921.0,2805.1,--undefined--
1.4100,499.6,819.3,1915.2,2803.8,--undefined--
1.4200,500.5,819.3,1919.4,2805.1,--undefined--
1.4300,499.5,819.9,1920.0,2804.7,--undefined--
1.4400,499.3,821.1,1921.4,2804.9,--undefined--
1.4500,500.2,821.2,1922.1,2805.5,--undefined--
1.4600,500.0,819.5,1916.7,2804.3,--undefined--
1.4700,500.8,819.5,1920.3,2805.4,--undefined--
1.4800,499.9,820.1,1921.1,2805.1,--undefined--
1.4900,499.7,821.3,1922.5,2805.3,--undefined--
1.5000,500.4,821.4,1923.0,2805.8,--undefined--
1.5100,500.4,819.8,1917.9,2804.6,--undefined--
1.5200,501.0,819.7,1921.1,2805.7,--undefined--
1.5300,500.1,820.3,1922.0,2805.3,--undefined--
1.5400,499.9,821.5,1923.3,2805.6,--undefined--
1.5500,500.7,821.5,1923.7,2806.0,--undefined--
1.5600,500.7,820.0,1918.9,2804.9,--undefined--
1.5700,501.2,819.8,1921.7,2805.9,--undefined--
1.5800,500.3,820.4,1922.7,2805.6,--undefined--
1.5900,500.2,821.7,1924.0,2805.9,--undefined--
1.6000,500.8,821.7,1924.3,2806.2,--undefined--
1.6100,500.9,820.1,1919.6,2805.2,--undefined--
1.6200,501.4,819.9,1922.2,2806.0,--undefined--
1.6300,500.5,820.5,1923.3,2805.8,--undefined--
1.6400,500.4,821.8,1924.6,2806.1,--undefined--
1.6500,501.0,821.8,1924.7,2806.4,--undefined--
1.6600,501.1,820.3,1920.3,2805.4,--undefined--
1.6700,501.5,820.0,1922.6,2806.2,--undefined--
1.6800,500.7,820.6,1923.8,2805.9,--undefined--
1.6900,500.5,821.9,1925.0,2806.3,--undefined--
1.7000,501.1,821.8,1925.1,2806.5,--undefined--
1.7100,501.3,820.4,1920.8,2805.6,--undefined--
1.7200,501.6,820.0,1923.0,2806.3,--undefined--
1.7300,500.8,820.7,1924.2,2806.1,--undefined--
1.7400,500.7,822.0,1925.4,2806.4,--undefined--
1.7500,501.2,821.9,1925.5,2806.6,--undefined--
1.7600,501.4,820.5,1921.2,2805.7,--undefined--
1.7700,501.7,820.1,1923.3,2806.4,--undefined--
1.7800,500.9,820.8,1924.5,2806.2,--undefined--
1.7900,500.8,822.1,1925.8,2806.5,--undefined--
1.8000,501.3,822.0,1925.8,2806.7,--undefined--
1.8100,501.5,820.5,1921.6,2805.8,--undefined--
1.8200,501.8,820.1,1923.6,2806.5,--undefined--
1.8300,501.0,820.8,1924.9,2806.3,--undefined--
1.8400,500.9,822.1,1926.1,2806.6,--undefined--
1.8500,501.4,822.0,1926.1,2806.9,--undefined--
1.8600,501.6,820.6,1922.1,2806.0,--undefined--
1.8700,501.9,820.2,1923.8,2806.6,--undefined--
1.8800,501.1,820.9,1925.3,2806.4,--undefined--
1.8900,501.0,822.2,1926.5,2806.8,--undefined--
1.9000,501.5,822.1,1926.4,2807.0,--undefined--
1.9100,501.8,820.7,1922.6,2806.2,--undefined--
1.9200,502.0,820.3,1924.3,2806.7,--undefined--
1.9300,501.3,821.0,1925.8,2806.6,--undefined--
1.9400,501.2,822.4,1927.1,2807.0,--undefined--
1.9500,501.8,822.3,1927.1,2807.2,--undefined--
1.9600,502.1,820.9,1923.7,2806.5,--undefined--
1.9700,502.3,820.5,1925.3,2807.0,--undefined--
