time_s,F1,F2,F3,F4,F5
0.0300,704.8,873.0,1800.2,2489.6,2828.3
0.0400,704.6,874.1,1800.1,2487.7,2829.9
0.0500,704.5,878.5,1800.2,2488.0,2825.8
0.0600,704.0,880.0,1800.2,2488.1,2821.0
0.0700,704.0,876.4,1800.1,2488.5,2819.7
0.0800,704.5,872.2,1800.1,2488.6,2824.5
0.0900,704.6,873.8,1800.1,2487.5,2829.7
0.1000,704.3,877.9,1800.2,2487.4,2823.4
0.1100,704.1,879.8,1800.2,2488.4,2820.0
0.1200,704.1,876.2,1800.1,2488.8,2818.9
0.1300,704.6,872.0,1800.1,2488.8,2823.8
0.1400,704.6,873.6,1800.1,2487.7,2829.1
0.1500,704.4,877.8,1800.2,2487.6,2822.9
0.1600,704.2,879.6,1800.2,2488.6,2819.4
0.1700,704.1,876.0,1800.1,2489.0,2818.4
0.1800,704.6,871.8,1800.1,2489.0,2823.3
0.1900,704.7,873.5,1800.1,2487.9,2828.6
0.2000,704.4,877.7,1800.2,2487.8,2822.4
0.2100,704.2,879.5,1800.2,2488.8,2819.0
0.2200,704.2,875.9,1800.1,2489.2,2818.0
0.2300,704.7,871.7,1800.1,2489.2,2822.9
0.2400,704.8,873.4,1800.1,2488.0,2828.3
0.2500,704.5,877.6,1800.2,2487.9,2822.2
0.2600,704.2,879.5,1800.2,2488.9,2818.7
0.2700,704.2,875.9,1800.1,2489.2,2817.8
0.2800,704.7,871.7,1800.1,2489.2,2822.7
0.2900,704.8,873.4,1800.1,2488.1,2828.1
0.3000,704.5,877.6,1800.2,2487.9,2822.1
0.3100,704.2,879.5,1800.2,2488.9,2818.6
0.3200,704.2,875.9,1800.1,2489.3,2817.8
0.3300,704.7,871.7,1800.1,2489.2,2822.7
0.3400,704.8,873.4,1800.1,2488.1,2828.2
0.3500,704.5,877.6,1800.2,2487.9,2822.1
0.3600,704.2,879.5,1800.2,2488.9,2818.8
0.3700,704.2,875.9,1800.1,2489.2,2817.9
0.3800,704.7,871.7,1800.1,2489.2,2822.9
0.3900,704.7,873.5,1800.1,2488.0,2828.4
0.4000,704.4,877.6,1800.2,2487.8,2822.4
0.4100,704.2,879.6,1800.2,2488.8,2819.1
0.4200,704.2,876.0,1800.1,2489.1,2818.2
0.4300,704.6,871.8,1800.1,2489.0,2823.3
0.4400,704.7,873.6,1800.1,2487.8,2828.8
0.4500,704.4,877.7,1800.2,2487.7,2822.8
0.4600,704.1,879.7,1800.2,2488.6,2819.5
0.4700,704.1,876.1,1800.1,2488.9,2818.7
0.4800,704.6,872.0,1800.1,2488.8,2823.8
0.4900,704.6,873.7,1800.1,2487.6,2829.3
0.5000,704.3,877.9,1800.2,2487.5,2823.3
0.5100,704.1,879.8,1800.2,2488.4,2820.1
0.5200,704.0,876.3,1800.1,2488.7,2819.3
0.5300,704.5,872.1,1800.1,2488.6,2824.4
0.5400,704.5,873.9,1800.1,2487.4,2829.9
0.5500,704.2,878.0,1800.2,2487.2,2823.8
0.5600,704.0,879.9,1800.2,2488.1,2820.7
0.5700,703.9,876.4,1800.1,2488.5,2819.9
0.5800,704.4,872.3,1800.1,2488.4,2825.1
0.5900,704.5,874.0,1800.1,2487.1,2830.5
0.6000,704.2,878.1,1800.2,2487.0,2824.4
0.6100,703.9,880.1,1800.2,2487.9,2821.4
0.6200,703.9,876.6,1800.1,2488.2,2820.5
0.6300,704.3,872.5,1800.1,2488.1,2825.8
0.6400,704.4,874.2,1800.1,2486.9,2831.2
0.6500,704.1,878.3,1800.2,2486.7,2825.0
0.6600,703.8,880.3,1800.2,2487.6,2822.0
0.6700,703.8,876.7,1800.1,2488.0,2821.2
0.6800,704.2,872.7,1800.1,2487.8,2826.4
0.6900,704.3,874.4,1800.1,2486.6,2831.8
0.7000,704.0,878.4,1800.2,2486.5,2825.6
0.7100,703.7,880.4,1800.2,2487.3,2822.7
0.7200,703.7,876.9,1800.1,2487.7,2821.7
0.7300,704.1,872.9,1800.1,2487.6,2827.0
0.7400,704.2,874.5,1800.1,2486.4,2832.3
0.7500,703.9,878.5,1800.2,2486.3,2826.1
0.7600,703.6,880.5,1800.2,2487.1,2823.2
0.7700,703.6,877.0,1800.1,2487.5,2822.2
0.7800,704.1,873.0,1800.1,2487.4,2827.5
0.7900,704.1,874.7,1800.1,2486.2,2832.7
0.8000,703.9,878.6,1800.2,2486.1,2826.4
0.8100,703.6,880.6,1800.2,2487.0,2823.6
0.8200,703.6,877.1,1800.1,2487.4,2822.5
0.8300,704.0,873.1,1800.1,2487.2,2827.8
0.8400,704.1,874.7,1800.1,2486.1,2833.0
0.8500,703.8,878.7,1800.2,2486.1,2826.6
0.8600,703.6,880.7,1800.2,2486.9,2823.8
0.8700,703.6,877.1,1800.1,2487.3,2822.6
0.8800,704.0,873.1,1800.1,2487.2,2827.9
0.8900,704.1,874.8,1800.1,2486.0,2833.1
0.9000,703.8,878.7,1800.2,2486.1,2826.6
