time_s,F1,F2,F3,F4,F5
0.0300,298.9,708.8,999.1,2194.4,--undefined--
0.0400,303.0,712.9,1534.7,2193.4,--undefined--
0.0500,308.7,716.2,1921.4,2196.5,--undefined--
0.0600,303.3,712.0,1401.5,2194.2,--undefined--
0.0700,302.0,711.3,902.4,2193.0,--undefined--
0.0800,301.4,711.6,896.2,2191.9,--undefined--
0.0900,301.1,711.4,912.5,2191.4,--undefined--
0.1000,304.3,713.5,1613.9,2192.4,--undefined--
0.1100,301.8,710.9,907.2,2192.0,--undefined--
0.1200,302.7,712.0,1119.6,2192.7,--undefined--
0.1300,301.8,711.9,892.6,2191.9,--undefined--
0.1400,301.4,711.7,903.5,2191.4,--undefined--
0.1500,304.6,713.8,1686.9,2192.4,--undefined--
0.1600,302.1,711.2,898.7,2191.9,--undefined--
0.1700,303.0,712.2,1328.5,2192.7,--undefined--
0.1800,302.0,712.1,915.0,2191.9,--undefined--
0.1900,301.7,711.9,896.9,2191.4,--undefined--
0.2000,304.9,714.0,1728.4,2192.4,--undefined--
0.2100,302.4,711.4,892.5,2191.9,--undefined--
0.2200,303.2,712.4,1431.1,2192.7,--undefined--
0.2300,302.2,712.3,990.9,2191.9,--undefined--
0.2400,301.9,712.1,893.6,2191.4,--undefined--
0.2500,305.1,714.1,1750.9,2192.4,--undefined--
0.2600,302.5,711.5,889.0,2191.9,--undefined--
0.2700,303.4,712.5,1479.6,2192.7,--undefined--
0.2800,302.3,712.3,1063.7,2191.9,--undefined--
0.2900,302.0,712.2,892.9,2191.4,--undefined--
0.3000,305.1,714.1,1760.3,2192.4,--undefined--
0.3100,302.5,711.6,887.8,2191.9,--undefined--
0.3200,303.4,712.5,1493.0,2192.7,--undefined--
0.3300,302.3,712.4,1079.4,2191.9,--undefined--
0.3400,302.0,712.2,892.9,2191.4,--undefined--
0.3500,305.1,714.1,1758.7,2192.4,--undefined--
0.3600,302.5,711.5,888.4,2191.9,--undefined--
0.3700,303.3,712.5,1476.4,2192.7,--undefined--
0.3800,302.3,712.3,1035.2,2191.9,--undefined--
0.3900,301.9,712.1,893.4,2191.4,--undefined--
0.4000,305.0,714.1,1746.0,2192.4,--undefined--
0.4100,302.4,711.4,891.0,2191.9,--undefined--
0.4200,303.2,712.4,1425.3,2192.7,--undefined--
0.4300,302.1,712.2,951.2,2191.9,--undefined--
0.4400,301.7,712.0,896.2,2191.4,--undefined--
0.4500,304.8,713.9,1719.9,2192.4,--undefined--
0.4600,302.2,711.3,895.9,2191.9,--undefined--
0.4700,303.0,712.2,1322.1,2192.7,--undefined--
0.4800,301.9,712.0,900.5,2191.9,--undefined--
0.4900,301.5,711.8,901.9,2191.4,--undefined--
0.5000,304.6,713.7,1674.8,2192.4,--undefined--
0.5100,302.0,711.0,903.2,2191.9,--undefined--
0.5200,302.7,712.0,1121.5,2192.7,--undefined--
0.5300,301.7,711.8,892.4,2191.9,--undefined--
0.5400,301.2,711.5,910.0,2191.4,--undefined--
0.5500,304.2,713.4,1598.2,2192.4,--undefined--
